Benchmark,clang_-O0 Base (ms),Speedup,clang_-O2 Base (ms),Speedup,gcc_-O0 Base (ms),Speedup,gcc_-O2 Base (ms),Speedup
CHStone-adpcm-N,0.0698085,0.7838499413306983,0.019498,1.1512753897024093,0.0552125,0.8165415757755019,0.019291,0.7551180177711668
CHStone-blowfish-N,0.2589755,0.8757160247523079,0.18077100000000002,0.9669871752009309,0.2926215,0.7344447079817933,0.21145750000000002,1.1782298483594797
CHStone-motion-N,0.0013685,0.47925056907721936,0.00147,0.8226077224398433,0.0016259999999999998,0.5712278236430703,0.001059,0.6944262295081968
NAS-BT-W,6065.1639940000005,0.7381280999240918,1758.2805815000002,1.1320474308568924,8147.9450115,0.6691905106471054,1959.688912,1.0448333472264912
NAS-CG-W,698.294901,1.0713617230516521,200.07371849999998,0.9833920424477731,746.853279,0.9091037830111515,206.33735000000001,1.0405432165263524
NAS-EP-W,4155.043373500001,0.9860191195709126,2256.539479,0.9972596467164039,4156.542513,0.9961571251501866,2733.5886825,1.0390146093567605
NAS-SP-W,17661.635440500002,0.9287450212182466,3213.3003790000002,0.9960012692494634,28359.174408,0.9503868870834171,4298.1686174999995,0.9804124531488024
Inlinebench-k_means,17198.2906135,1.0089707671962926,2953.830778,0.9916885405843321,16966.864488,0.9958264691740545,5370.680698,1.001979348409033
Inlinebench-matrix_mult,12729.6050545,0.9658512997456447,12811.377302,1.0287400885776392,12654.443259,0.9741137519840837,12415.442644,0.9927075470249884
Inlinebench-vec_multiple_returns,23418.5057165,0.9991404402458494,6034.60752,0.999848471020666,23597.714573999998,1.0055567544046646,3519.8881549999996,0.9991006063180752
